Filename_MOD11A1_LST_Day, filename_MOD11A1_LST_Night,No_GoodQuality, No_Total, GoodQ_Rate
MOD11A1_2013001.LST_Day_1km.tif, MOD11A1_2013001.QC_Day.tif, 326822, 396600, 0.824060
MOD11A1_2013001.LST_Night_1km.tif, MOD11A1_2013001.QC_Night.tif, 360763, 396600, 0.909639
MOD11A1_2013002.LST_Day_1km.tif, MOD11A1_2013002.QC_Day.tif, 114267, 396600, 0.288116
MOD11A1_2013002.LST_Night_1km.tif, MOD11A1_2013002.QC_Night.tif, 293437, 396600, 0.739881
MOD11A1_2013003.LST_Day_1km.tif, MOD11A1_2013003.QC_Day.tif, 353783, 396600, 0.892040
MOD11A1_2013003.LST_Night_1km.tif, MOD11A1_2013003.QC_Night.tif, 324432, 396600, 0.818033
MOD11A1_2013004.LST_Day_1km.tif, MOD11A1_2013004.QC_Day.tif, 103846, 396600, 0.261841
MOD11A1_2013004.LST_Night_1km.tif, MOD11A1_2013004.QC_Night.tif, 302210, 396600, 0.762002
MOD11A1_2013005.LST_Day_1km.tif, MOD11A1_2013005.QC_Day.tif, 346982, 396600, 0.874892
MOD11A1_2013005.LST_Night_1km.tif, MOD11A1_2013005.QC_Night.tif, 378391, 396600, 0.954087
MOD11A1_2013006.LST_Day_1km.tif, MOD11A1_2013006.QC_Day.tif, 90305, 396600, 0.227698
MOD11A1_2013006.LST_Night_1km.tif, MOD11A1_2013006.QC_Night.tif, 382356, 396600, 0.964085
MOD11A1_2013007.LST_Day_1km.tif, MOD11A1_2013007.QC_Day.tif, 372494, 396600, 0.939218
MOD11A1_2013007.LST_Night_1km.tif, MOD11A1_2013007.QC_Night.tif, 343310, 396600, 0.865633
MOD11A1_2013008.LST_Day_1km.tif, MOD11A1_2013008.QC_Day.tif, 277205, 396600, 0.698954
MOD11A1_2013008.LST_Night_1km.tif, MOD11A1_2013008.QC_Night.tif, 386015, 396600, 0.973311
MOD11A1_2013009.LST_Day_1km.tif, MOD11A1_2013009.QC_Day.tif, 361135, 396600, 0.910577
MOD11A1_2013009.LST_Night_1km.tif, MOD11A1_2013009.QC_Night.tif, 342989, 396600, 0.864823
MOD11A1_2013010.LST_Day_1km.tif, MOD11A1_2013010.QC_Day.tif, 231768, 396600, 0.584387
MOD11A1_2013010.LST_Night_1km.tif, MOD11A1_2013010.QC_Night.tif, 387178, 396600, 0.976243
MOD11A1_2013011.LST_Day_1km.tif, MOD11A1_2013011.QC_Day.tif, 236166, 396600, 0.595477
MOD11A1_2013011.LST_Night_1km.tif, MOD11A1_2013011.QC_Night.tif, 328673, 396600, 0.828727
